Category;Subcategory;Item Name;Item ID;Description;Price ($);Quantity;Supplier;Region;Date Added;Rating;Stock Status
Beauty;Skin Care;Skin Care Model 125;5d8639ca;A high-quality skin care suitable for everyday use.;1114,91;125;Initech;Europe;2025-01-24;1,4;In Stock
Beauty;Skin Care;Skin Care Model 704;25e84ba4;A high-quality skin care suitable for everyday use.;638,66;15;Globex Corp;Europe;2023-08-27;3;In Stock
Electronics;Laptops;Laptops Model 833;181b64e8;A high-quality laptops suitable for everyday use.;978,33;279;Hooli;Europe;2024-04-04;3,4;In Stock
Electronics;Laptops;Laptops Model 814;aea484d4;A high-quality laptops suitable for everyday use.;639,7;142;Initech;Europe;2025-02-20;2,3;In Stock
Electronics;Cameras;Cameras Model 199;8213fffe;A high-quality cameras suitable for everyday use.;544,88;176;Vandelay Industries;Asia-Pacific;2025-04-06;1,2;In Stock
Toys & Games;Board Games;Board Games Model 487;80dcf786;A high-quality board games suitable for everyday use.;127,41;150;Stark Supply;Middle East & Africa;2025-06-25;4,4;In Stock
Books;Non_Fiction;Non_Fiction Model 821;70269686;A high-quality non_fiction suitable for everyday use.;113,64;338;Initech;Asia-Pacific;2023-03-23;4,4;In Stock
Electronics;Cameras;Cameras Model 384;51193083;A high-quality cameras suitable for everyday use.;685,58;427;Umbrella Ltd;Europe;2024-01-15;2,4;In Stock
Beauty;Hair Care;Hair Care Model 818;63ccafb7;A high-quality hair care suitable for everyday use.;1405,62;331;Globex Corp;Middle East & Africa;2024-10-12;1,7;In Stock
Beauty;Makeup;Makeup Model 267;3c2165c6;A high-quality makeup suitable for everyday use.;698,77;138;Stark Supply;Middle East & Africa;2023-08-13;3,7;In Stock
Electronics;Laptops;Laptops Model 941;6aea5d58;A high-quality laptops suitable for everyday use.;57,83;161;Hooli;Asia-Pacific;2023-03-09;1,8;In Stock
Books;Children;Children Model 317;013c344d;A high-quality children suitable for everyday use.;986,6;202;Stark Supply;Latin America;2023-05-27;2,1;In Stock
Home & Kitchen;Furniture;Furniture Model 864;9042cb93;A high-quality furniture suitable for everyday use.;881,03;459;Vandelay Industries;Latin America;2024-01-06;1,9;In Stock
Home & Kitchen;Bedding;Bedding Model 193;c113eb3f;A high-quality bedding suitable for everyday use.;1136,12;440;Globex Corp;Europe;2024-10-04;1,6;In Stock
Beauty;Fragrances;Fragrances Model 710;bf9d69f1;A high-quality fragrances suitable for everyday use.;104,66;195;Vandelay Industries;Latin America;2024-06-25;2;In Stock
Books;Fiction;Fiction Model 796;8ccb6f3f;A high-quality fiction suitable for everyday use.;1083,88;349;Vandelay Industries;Asia-Pacific;2025-02-26;3,6;In Stock
Electronics;Headphones;Headphones Model 545;7fc97b59;A high-quality headphones suitable for everyday use.;245,66;1;Stark Supply;Asia-Pacific;2024-05-27;4;In Stock
Books;Fiction;Fiction Model 991;49328601;A high-quality fiction suitable for everyday use.;941,7;430;Stark Supply;Middle East & Africa;2024-09-15;1,8;In Stock
Sports & Outdoors;Camping Gear;Camping Gear Model 652;a93d90e9;A high-quality camping gear suitable for everyday use.;1430,71;472;Vandelay Industries;North America;2024-09-05;2,3;In Stock
Electronics;Smartphones;Smartphones Model 471;161c7832;A high-quality smartphones suitable for everyday use.;1319,3;425;Umbrella Ltd;Europe;2023-03-01;2;In Stock
Books;Fiction;Fiction Model 187;1145d089;A high-quality fiction suitable for everyday use.;1100,54;417;Globex Corp;Middle East & Africa;2025-02-23;1,5;In Stock
Beauty;Fragrances;Fragrances Model 662;87315335;A high-quality fragrances suitable for everyday use.;256,04;270;Vandelay Industries;Latin America;2023-08-05;4,7;In Stock
Beauty;Makeup;Makeup Model 830;27abf9b5;A high-quality makeup suitable for everyday use.;474,46;343;Stark Supply;Asia-Pacific;2024-03-24;4,6;In Stock
Toys & Games;Board Games;Board Games Model 353;c52158af;A high-quality board games suitable for everyday use.;344,8;173;Globex Corp;Middle East & Africa;2024-07-21;1,9;In Stock
Home & Kitchen;Cookware;Cookware Model 172;86fc3caf;A high-quality cookware suitable for everyday use.;1064,68;30;Initech;North America;2025-07-16;1,1;In Stock
Sports & Outdoors;Fitness Equipment;Fitness Equipment Model 626;09554a5d;A high-quality fitness equipment suitable for everyday use.;364,63;342;Hooli;Europe;2024-07-06;1,5;In Stock
Books;Comics;Comics Model 348;d01c0047;A high-quality comics suitable for everyday use.;1179,08;413;Hooli;Europe;2023-04-07;1,4;In Stock
Toys & Games;Puzzles;Puzzles Model 533;f5770f8b;A high-quality puzzles suitable for everyday use.;622,54;442;Stark Supply;North America;2024-11-20;3,6;In Stock
Beauty;Skin Care;Skin Care Model 162;4f3ddf34;A high-quality skin care suitable for everyday use.;609,91;173;Globex Corp;Europe;2023-07-16;1,8;In Stock
Toys & Games;Action Figures;Action Figures Model 532;5e59ccf3;A high-quality action figures suitable for everyday use.;283,4;236;Initech;North America;2024-03-29;4,2;In Stock
Books;Fiction;Fiction Model 151;3626b3c2;A high-quality fiction suitable for everyday use.;981,7;276;Globex Corp;North America;2025-02-10;4,4;In Stock
Home & Kitchen;Bedding;Bedding Model 597;24fd2587;A high-quality bedding suitable for everyday use.;727,22;442;Hooli;North America;2023-06-18;2,5;In Stock
Toys & Games;Puzzles;Puzzles Model 902;a7bca8ab;A high-quality puzzles suitable for everyday use.;1179,84;146;Hooli;Middle East & Africa;2024-11-08;3,9;In Stock
